wavelength,intensity
2.527667043300000103e+02, 5.465781643396638856e-02
2.531796247000000051e+02, 5.426108186465405936e-02
2.535925774199999978e+02, 6.062409399557644463e-02
2.540055624400000056e+02, 4.794384679941998684e-02
2.544185797000000093e+02, 5.844205386434886407e-02
2.548316291499999977e+02, 4.789806973373167409e-02
2.552447107499999959e+02, 5.278095674067273535e-02
2.556578244300000051e+02, 4.968337529564337274e-02
2.560709701399999858e+02, 5.526817730983246690e-02
2.564841478399999914e+02, 6.146334019989119213e-02
2.568973574600000234e+02, 3.887998779278234451e-02
2.573105989499999851e+02, 5.471885252155495039e-02
2.577238722700000153e+02, 4.759288929579597038e-02
2.581371773500000018e+02, 5.201800564583969333e-02
2.585505141500000263e+02, 5.691615167467567460e-02
2.589638826099999847e+02, 5.841153582055547133e-02
2.593772826800000075e+02, 5.745021744106004746e-02
2.597907143099999985e+02, 5.497825589379878863e-02
2.602041774400000236e+02, 4.444953078507829503e-02
2.606176720199999863e+02, 4.594491493095453905e-02
2.610311979900000097e+02, 5.123979552910817858e-02
2.614447553200000129e+02, 4.689097428854793748e-02
2.618583439299999895e+02, 4.727244983596534667e-02
2.622719637800000214e+02, 5.329976348516041185e-02
2.626856148200000121e+02, 5.212481879911479155e-02
2.630992969900000276e+02, 4.998855573357730009e-02
2.635130102400000283e+02, 4.368657969024347665e-02
2.639267545100000234e+02, 4.972915236133346184e-02
2.643405297599999813e+02, 5.139238574807336590e-02
2.647543359300000247e+02, 5.107194628824274218e-02
2.651681729599999926e+02, 4.449530785076660777e-02
2.655820408199999747e+02, 5.796902418554950032e-02
2.659959394300000213e+02, 6.736858167391446273e-02
2.664098687499999869e+02, 4.599069199664285179e-02
2.668238287199999945e+02, 3.810177767605260613e-02
2.672378193000000124e+02, 4.640268558785365371e-02
2.676518404299999929e+02, 5.801480125123958942e-02
2.680658920600000101e+02, 4.623483634698821731e-02
2.684799741300000164e+02, 5.255207141222228984e-02
2.688940865899999721e+02, 4.806591897459355778e-02
2.693082293800000002e+02, 5.609216449225584711e-02
2.697224024600000121e+02, 5.085831998168899304e-02
2.701366057800000249e+02, 5.461203936827452310e-02
2.705508392699999831e+02, 5.906767376211341514e-02
2.709651028900000256e+02, 5.615320057984440894e-02
2.713793965799999910e+02, 4.722667277027348121e-02
2.717937202900000102e+02, 4.315251392385910378e-02
2.722080739599999788e+02, 5.798428320744619668e-02
2.726224575499999787e+02, 4.522774090180625706e-02
2.730368710100000271e+02, 3.073167009994470789e-02
2.734513142600000037e+02, 4.751659418631248855e-02
2.738657872800000064e+02, 4.274052033264474915e-02
2.742802899900000284e+02, 6.041046768902269548e-02
2.746948223599999892e+02, 4.577706569008910265e-02
2.751093843200000038e+02, 5.181963836117908784e-02
2.755239758199999756e+02, 5.412375066758023934e-02
2.759385968199999866e+02, 4.994277866788898734e-02
2.763532472499999812e+02, 4.231326771953902721e-02
2.767679270599999768e+02, 5.882352941176449690e-02
2.771826362099999983e+02, 3.851377126726163169e-02
2.775973746299999902e+02, 4.550240329594856803e-02
2.780121422799999777e+02, 6.416418707560644918e-02
2.784269391000000269e+02, 5.108720531013943855e-02
2.788417650399999843e+02, 7.260242618448131680e-02
2.792566200399999730e+02, 6.282139314869894520e-02
2.796715040600000179e+02, 4.827954528114730692e-02
2.800864170400000148e+02, 5.076676585030703848e-02
2.805013589199999728e+02, 4.357976653696482572e-02
2.809163296599999740e+02, 5.503929198138202139e-02
2.813313292099999785e+02, 4.951552605477793634e-02
2.817463574899999799e+02, 4.618905928129990457e-02
2.821614144800000190e+02, 3.575188830396136552e-02
2.825765000999999756e+02, 5.073624780651542210e-02
2.829916143199999965e+02, 4.792858777752329047e-02
2.834067570700000260e+02, 5.763332570382040387e-02
2.838219283099999757e+02, 5.073624780651542210e-02
2.842371279700000173e+02, 5.185015640497248057e-02
2.846523560100000054e+02, 6.091401541161189925e-02
2.850676123800000141e+02, 6.758220798046643552e-02
2.854828970199999958e+02, 6.582742046234635325e-02
2.858982098800000244e+02, 4.792858777752329047e-02
2.863135508999999956e+02, 6.448462653543884926e-02
2.867289200299999834e+02, 5.488670176241505771e-02
2.871443172200000049e+02, 6.735332265201954272e-02
2.875597424200000205e+02, 5.740444037537351107e-02
2.879751955799999905e+02, 5.107194628824451854e-02
2.883906766299999731e+02, 5.406271457999523022e-02
2.888061855299999934e+02, 5.340657663843728642e-02
2.892217222300000117e+02, 6.959639887083035603e-02
2.896372866699999804e+02, 4.361028458075821845e-02
2.900528787900000225e+02, 5.465781643396638856e-02
2.904684985499999925e+02, 4.974441138323015821e-02
2.908841459000000214e+02, 6.005951018539690267e-02
2.912998207699999966e+02, 6.410315098802144007e-02
2.917155231200000003e+02, 5.900663767452485331e-02
2.921312528899999847e+02, 6.208896009765929591e-02
2.925470100399999751e+02, 6.555275806820937134e-02
2.929627944999999727e+02, 6.039520866712422276e-02
2.933786062199999947e+02, 5.645838101777655993e-02
2.937944451600000093e+02, 6.312657358663464890e-02
2.942103112600000259e+02, 6.434729533836858195e-02
2.946262044599999967e+02, 5.850308995193564954e-02
2.950421247200000039e+02, 6.245517662318000873e-02
2.954580719699999918e+02, 5.239948119325710252e-02
2.958740461699999855e+02, 6.005951018539690267e-02
2.962900472700000023e+02, 5.587853818570032161e-02
2.967060751999999866e+02, 4.724193179217373029e-02
2.971221299300000283e+02, 6.474402990768268751e-02
2.975382113800000070e+02, 6.710917830167062448e-02
