wavelength,intensity
2.527667043300000103e+02, 1.190508888380268360e-01
2.531796247000000051e+02, 1.163653009842064989e-01
2.535925774199999978e+02, 1.088426031891351897e-01
2.540055624400000056e+02, 1.121843289845099179e-01
2.544185797000000093e+02, 1.203936827649361163e-01
2.548316291499999977e+02, 1.112230106050215994e-01
2.552447107499999959e+02, 1.100022888532841137e-01
2.556578244300000051e+02, 1.235370412756537917e-01
2.560709701399999858e+02, 1.135576409552143673e-01
2.564841478399999914e+02, 9.961089494163211100e-02
2.568973574600000234e+02, 1.115129320210570540e-01
2.573105989499999851e+02, 1.142290379186707838e-01
2.577238722700000153e+02, 1.199206530861367526e-01
2.581371773500000018e+02, 1.124437323567573088e-01
2.585505141500000263e+02, 1.014724956130308442e-01
2.589638826099999847e+02, 1.174639505607686374e-01
2.593772826800000075e+02, 1.189440756847464087e-01
2.597907143099999985e+02, 1.044174868390932431e-01
2.602041774400000236e+02, 1.125047684443423179e-01
2.606176720199999863e+02, 1.053025101091016325e-01
2.610311979900000097e+02, 1.060196841382463617e-01
2.614447553200000129e+02, 1.154039826047164041e-01
2.618583439299999895e+02, 1.044937819485767250e-01
2.622719637800000214e+02, 1.152513923857494405e-01
2.626856148200000121e+02, 1.044632639047833322e-01
2.630992969900000276e+02, 1.102616922255279519e-01
2.635130102400000283e+02, 1.118944075684744632e-01
2.639267545100000234e+02, 1.075608453498126948e-01
2.643405297599999813e+02, 1.035782406347731666e-01
2.647543359300000247e+02, 1.076829175249862658e-01
2.651681729599999926e+02, 1.110246433203627703e-01
2.655820408199999747e+02, 1.020675974670037789e-01
2.659959394300000213e+02, 1.087205310139616188e-01
2.664098687499999869e+02, 1.250324254215318120e-01
2.668238287199999945e+02, 1.160753795681692679e-01
2.672378193000000124e+02, 1.088120851453417970e-01
2.676518404299999929e+02, 1.083695735103376023e-01
2.680658920600000101e+02, 1.095597772182781426e-01
2.684799741300000164e+02, 1.201495384145889744e-01
2.688940865899999721e+02, 1.029983978027004810e-01
2.693082293800000002e+02, 1.192645151445788088e-01
2.697224024600000121e+02, 1.109788662546726812e-01
2.701366057800000249e+02, 1.132066834515885745e-01
2.705508392699999831e+02, 1.201037613488988853e-01
2.709651028900000256e+02, 1.149004348821254240e-01
2.713793965799999910e+02, 1.087205310139616188e-01
2.717937202900000102e+02, 1.034256504158097556e-01
2.722080739599999788e+02, 1.181048294804316612e-01
2.726224575499999787e+02, 9.756618600747657410e-02
2.730368710100000271e+02, 1.207598992904532764e-01
2.734513142600000037e+02, 1.187762264438845250e-01
2.738657872800000064e+02, 9.431601434348024782e-02
2.742802899900000284e+02, 1.142748149843590966e-01
2.746948223599999892e+02, 1.155107957579932787e-01
2.751093843200000038e+02, 1.099565117875940246e-01
2.755239758199999756e+02, 1.052414740215130706e-01
2.759385968199999866e+02, 1.183031967650887140e-01
2.763532472499999812e+02, 1.134203097581441000e-01
2.767679270599999768e+02, 1.041428244449544849e-01
2.771826362099999983e+02, 1.216754406042568348e-01
2.775973746299999902e+02, 1.185931181811223922e-01
2.780121422799999777e+02, 1.192492561226803360e-01
2.784269391000000269e+02, 1.261615930418855669e-01
2.788417650399999843e+02, 1.168535896849007827e-01
2.792566200399999730e+02, 1.188220035095763905e-01
2.796715040600000179e+02, 1.282368200198380492e-01
2.800864170400000148e+02, 1.212634470130460329e-01
2.805013589199999728e+02, 1.130083161669332981e-01
2.809163296599999740e+02, 1.118028534370942850e-01
2.813313292099999785e+02, 1.168078126192106936e-01
2.817463574899999799e+02, 1.130235751888317708e-01
2.821614144800000190e+02, 1.222705424582279932e-01
2.825765000999999756e+02, 1.195544365606178161e-01
2.829916143199999965e+02, 1.268177309834417343e-01
2.834067570700000260e+02, 1.188220035095728377e-01
2.838219283099999757e+02, 1.340505073624775889e-01
2.842371279700000173e+02, 1.243305104142820028e-01
2.846523560100000054e+02, 1.176775768673241629e-01
2.850676123800000141e+02, 1.296864271000224278e-01
