wavelength,intensity
2.527667043300000103e+02, 5.099565117876103670e-02
2.531796247000000051e+02, 5.685511558709066549e-02
2.535925774199999978e+02, 5.253681239032559347e-02
2.540055624400000056e+02, 5.023270008392444197e-02
2.544185797000000093e+02, 3.753719386587306417e-02
2.548316291499999977e+02, 5.735866330968164561e-02
2.552447107499999959e+02, 3.981078812848082293e-02
2.556578244300000051e+02, 4.892042420080855436e-02
2.560709701399999858e+02, 4.550240329594856803e-02
2.564841478399999914e+02, 4.773022049286446133e-02
2.568973574600000234e+02, 5.032425421530462017e-02
2.573105989499999851e+02, 5.624475471122458714e-02
2.577238722700000153e+02, 4.972915236133346184e-02
2.581371773500000018e+02, 4.881361104753167979e-02
2.585505141500000263e+02, 5.050736247806320023e-02
2.589638826099999847e+02, 5.902189669642154968e-02
2.593772826800000075e+02, 5.027847714961275472e-02
2.597907143099999985e+02, 4.277103837644169460e-02
2.602041774400000236e+02, 5.223163195239166612e-02
2.606176720199999863e+02, 5.540550850690451057e-02
2.610311979900000097e+02, 4.422064545662607316e-02
2.614447553200000129e+02, 4.567025253681222807e-02
2.618583439299999895e+02, 5.352864881361085736e-02
2.622719637800000214e+02, 4.322880903334080926e-02
2.626856148200000121e+02, 3.961242084382199380e-02
2.630992969900000276e+02, 4.892042420080677800e-02
2.635130102400000283e+02, 3.895628290226760271e-02
2.639267545100000234e+02, 4.347295338368795115e-02
2.643405297599999813e+02, 4.589913786526267359e-02
2.647543359300000247e+02, 5.290302891584808265e-02
2.651681729599999926e+02, 4.708934157320676661e-02
2.655820408199999747e+02, 3.889524681467904088e-02
2.659959394300000213e+02, 4.310673685816723832e-02
2.664098687499999869e+02, 4.126039520866875421e-02
2.668238287199999945e+02, 5.534447241931950145e-02
2.672378193000000124e+02, 5.067521171892863663e-02
2.676518404299999929e+02, 4.748607614252087217e-02
2.680658920600000101e+02, 5.310139620050158271e-02
2.684799741300000164e+02, 4.293888761730535464e-02
2.688940865899999721e+02, 4.730296787975873940e-02
2.693082293800000002e+02, 5.166704814221567688e-02
2.697224024600000121e+02, 3.865110246433189900e-02
2.701366057800000249e+02, 4.774547951476115770e-02
2.705508392699999831e+02, 5.052262149996344931e-02
2.709651028900000256e+02, 4.852368963149622516e-02
2.713793965799999910e+02, 4.005493247882796481e-02
2.717937202900000102e+02, 4.376287479972695849e-02
2.722080739599999788e+02, 4.959182116426319453e-02
2.726224575499999787e+02, 3.714045929655895861e-02
2.730368710100000271e+02, 3.897154192416074636e-02
2.734513142600000037e+02, 5.484092469672496861e-02
2.738657872800000064e+02, 4.457160296024831325e-02
2.742802899900000284e+02, 4.744029907683078306e-02
2.746948223599999892e+02, 4.577706569008910265e-02
2.751093843200000038e+02, 5.548180361638621605e-02
2.755239758199999756e+02, 6.968795300221231059e-02
2.759385968199999866e+02, 5.955596246280769890e-02
2.763532472499999812e+02, 4.460212100404348234e-02
2.767679270599999768e+02, 4.737926298924222124e-02
2.771826362099999983e+02, 4.492256046387588242e-02
2.775973746299999902e+02, 5.389486533913157018e-02
2.780121422799999777e+02, 5.622949568932611442e-02
2.784269391000000269e+02, 4.544136720836178256e-02
2.788417650399999843e+02, 5.185015640497248057e-02
