wavelength,intensity
2.527667043300000103e+02, 6.839093614099311935e-02
2.531796247000000051e+02, 7.287708857862185141e-02
2.535925774199999978e+02, 7.359426260776835704e-02
2.540055624400000056e+02, 7.327382314793418061e-02
2.544185797000000093e+02, 7.370107576104523162e-02
2.548316291499999977e+02, 7.399099717708068624e-02
2.552447107499999959e+02, 6.361486228732715631e-02
2.556578244300000051e+02, 7.180895704585310568e-02
2.560709701399999858e+02, 6.442359044785028743e-02
2.564841478399999914e+02, 7.397573815518221352e-02
2.568973574600000234e+02, 6.543068589303402405e-02
2.573105989499999851e+02, 6.295872434576921250e-02
2.577238722700000153e+02, 6.514076447699679306e-02
2.581371773500000018e+02, 6.773479819943517555e-02
2.585505141500000263e+02, 7.492179751277738831e-02
2.589638826099999847e+02, 6.924544136720989229e-02
2.593772826800000075e+02, 5.851834897383056955e-02
2.597907143099999985e+02, 7.161058976119605290e-02
2.602041774400000236e+02, 5.009536888685417466e-02
2.606176720199999863e+02, 6.959639887083390875e-02
2.610311979900000097e+02, 5.368123903257959739e-02
2.614447553200000129e+02, 6.291294728007912340e-02
2.618583439299999895e+02, 5.291828793774300266e-02
2.622719637800000214e+02, 6.581216144045320959e-02
2.626856148200000121e+02, 5.578698405432191976e-02
2.630992969900000276e+02, 6.692607003890849171e-02
2.635130102400000283e+02, 6.413366903181660916e-02
2.639267545100000234e+02, 4.866102082856471611e-02
2.643405297599999813e+02, 7.168688487067775839e-02
2.647543359300000247e+02, 6.633096818493910973e-02
2.651681729599999926e+02, 5.090409704738085850e-02
2.655820408199999747e+02, 5.094987411307094760e-02
2.659959394300000213e+02, 6.599526970321178965e-02
2.664098687499999869e+02, 6.308079652094278345e-02
2.668238287199999945e+02, 6.861982146944534122e-02
2.672378193000000124e+02, 6.486610208285803481e-02
2.676518404299999929e+02, 6.533913176165562220e-02
2.680658920600000101e+02, 7.598992904554613403e-02
2.684799741300000164e+02, 5.865568017090083686e-02
2.688940865899999721e+02, 5.416952773327210480e-02
2.693082293800000002e+02, 6.433203631647188558e-02
2.697224024600000121e+02, 6.169222552834341400e-02
2.701366057800000249e+02, 8.162050812542887002e-02
2.705508392699999831e+02, 5.799954222934289305e-02
2.709651028900000256e+02, 5.493247882810692317e-02
2.713793965799999910e+02, 6.507972838941000759e-02
2.717937202900000102e+02, 7.428091859311969358e-02
2.722080739599999788e+02, 6.698710612649882989e-02
2.726224575499999787e+02, 5.636682688639638172e-02
2.730368710100000271e+02, 4.293888761730180192e-02
2.734513142600000037e+02, 6.674296177614991166e-02
2.738657872800000064e+02, 7.249561303120266587e-02
2.742802899900000284e+02, 5.629053177691289989e-02
2.746948223599999892e+02, 5.996795605401850082e-02
2.751093843200000038e+02, 6.662088960097634072e-02
2.755239758199999756e+02, 6.617837796597036970e-02
2.759385968199999866e+02, 6.291294728008089976e-02
2.763532472499999812e+02, 6.611734187838536059e-02
2.767679270599999768e+02, 6.111238269626895203e-02
2.771826362099999983e+02, 7.071030746929096722e-02
2.775973746299999902e+02, 6.396581979095117276e-02
2.780121422799999777e+02, 6.614785992217875332e-02
2.784269391000000269e+02, 7.122911421377864372e-02
2.788417650399999843e+02, 6.482032501716616935e-02
2.792566200399999730e+02, 7.731746395056049437e-02
2.796715040600000179e+02, 7.299916075379542235e-02
2.800864170400000148e+02, 7.518120088502122655e-02
2.805013589199999728e+02, 6.524757763027189128e-02
2.809163296599999740e+02, 6.526283665217036400e-02
2.813313292099999785e+02, 7.484550240329390647e-02
2.817463574899999799e+02, 6.251621271076679420e-02
2.821614144800000190e+02, 5.879301136797288052e-02
2.825765000999999756e+02, 7.042038605325373624e-02
2.829916143199999965e+02, 7.905699244678388027e-02
2.834067570700000260e+02, 6.022735942626056271e-02
2.838219283099999757e+02, 7.408255130846264080e-02
2.842371279700000173e+02, 7.306019684138043147e-02
2.846523560100000054e+02, 7.098496986343150184e-02
2.850676123800000141e+02, 6.819256885633429022e-02
2.854828970199999958e+02, 7.925535973143915669e-02
2.858982098800000244e+02, 7.554741741054371573e-02
2.863135508999999956e+02, 7.592889295796112492e-02
2.867289200299999834e+02, 6.953536278324534692e-02
2.871443172200000049e+02, 7.406729228656594444e-02
2.875597424200000205e+02, 7.541008621347522478e-02
2.879751955799999905e+02, 7.380788891432032983e-02
2.883906766299999731e+02, 7.954528114747994039e-02
2.888061855299999934e+02, 8.117799649042289900e-02
2.892217222300000117e+02, 7.661554894331068510e-02
2.896372866699999804e+02, 7.840085450522416011e-02
2.900528787900000225e+02, 7.235828183413595127e-02
2.904684985499999925e+02, 6.988632028686758701e-02
2.908841459000000214e+02, 8.752574959945036426e-02
2.912998207699999966e+02, 7.676813916228120149e-02
2.917155231200000003e+02, 7.914854657816583483e-02
2.921312528899999847e+02, 8.604562447547436932e-02
2.925470100399999751e+02, 6.372167544060580724e-02
2.929627944999999727e+02, 8.038452735179646425e-02
2.933786062199999947e+02, 8.377203021286305784e-02
2.937944451600000093e+02, 6.694132906080874079e-02
2.942103112600000259e+02, 8.448920424200601076e-02
2.946262044599999967e+02, 8.139162279698020086e-02
2.950421247200000039e+02, 7.054245822842730718e-02
2.954580719699999918e+02, 8.780041199359089887e-02
2.958740461699999855e+02, 9.057755397878963777e-02
2.962900472700000023e+02, 6.900129701685919770e-02
2.967060751999999866e+02, 6.509498741130670396e-02
2.971221299300000283e+02, 7.756160830090763625e-02
2.975382113800000070e+02, 7.992675669489557322e-02
2.979543195200000127e+02, 7.244983596551435312e-02
2.983704542899999979e+02, 7.687495231555807607e-02
2.987866156399999795e+02, 7.771419851987459992e-02
2.992028035100000238e+02, 7.885862516212860385e-02
2.996190178400000264e+02, 7.722590981918209252e-02
3.000352586000000201e+02, 6.730754558632590090e-02
3.004515257200000065e+02, 8.068970778972861524e-02
3.008678191500000025e+02, 9.767299916075522503e-02
3.012841388400000255e+02, 8.854810406653079724e-02
3.017004847300000279e+02, 8.137636377508172814e-02
3.021168567700000267e+02, 9.018081940947553221e-02
3.025332549199999903e+02, 9.085221637292839603e-02
3.029496791099999768e+02, 7.872129396505833654e-02
3.033661292900000035e+02, 8.072022583352556069e-02
3.037826054099999737e+02, 8.194094758526127009e-02
3.041991074200000185e+02, 9.222552834363284546e-02
3.046156352599999764e+02, 9.382772564278596406e-02
3.050321888899999863e+02, 6.576638437476134413e-02
3.054487682399999926e+02, 6.398107881284964549e-02
3.058653732700000205e+02, 8.378728923475975421e-02
3.062820039200000224e+02, 8.105592431524932806e-02
3.066986601400000154e+02, 7.502861066605603924e-02
3.071153418800000168e+02, 7.588311589227103582e-02
3.075320490799999789e+02, 7.771419851987637628e-02
3.079487816899999757e+02, 8.165102616922048639e-02
3.083655396500000165e+02, 8.683909361409902772e-02
3.087823229200000128e+02, 9.700160219730236122e-02
3.091991314399999737e+02, 8.874647135118607366e-02
3.096159651699999813e+02, 9.440756847486220238e-02
3.100328240299999720e+02, 7.461661707484701367e-02
3.104497079899999790e+02, 9.819180590524290153e-02
3.108666169900000114e+02, 9.880216678110897988e-02
3.112835509700000216e+02, 1.027389944304566427e-01
3.117005098899999780e+02, 1.053788052185868906e-01
3.121174936900000034e+02, 9.231708247501302367e-02
3.125345023099999935e+02, 9.428549629968863144e-02
3.129515357099999733e+02, 1.000381475547413856e-01
3.133685938300000089e+02, 9.782558937971863600e-02
3.137856766200000038e+02, 1.137254901960762510e-01
3.142027840299999752e+02, 1.072404058899838475e-01
3.146199159899999813e+02, 1.164110780498965880e-01
3.150370724699999982e+02, 1.169451438162791845e-01
3.154542534000000273e+02, 8.972304875257286483e-02
3.158714587399999800e+02, 1.171587701228364864e-01
3.162886884299999792e+02, 1.117112993057158832e-01
3.167059424099999774e+02, 1.262531471732657451e-01
3.171232206399999995e+02, 1.160448615243776516e-01
3.175405230700000061e+02, 1.250934615091168212e-01
3.179578496299999983e+02, 1.169604028381776573e-01
3.183752002699999935e+02, 1.167009994659320427e-01
3.187925749500000165e+02, 1.099412527656991045e-01
3.192099736100000200e+02, 1.306782635233094680e-01
3.196273961900000131e+02, 1.056229495689304798e-01
3.200448426500000210e+02, 1.181353475242232776e-01
3.204623129299999960e+02, 1.321126115815971502e-01
3.208798069800000121e+02, 1.235523002975504880e-01
3.212973247400000218e+02, 1.332875562676445469e-01
3.217148661699999934e+02, 1.439383535515368351e-01
3.221324311999999850e+02, 1.378042267490648953e-01
3.225500197900000217e+02, 1.321889066910824084e-01
3.229676318799999990e+02, 1.294880598153671514e-01
3.233852674199999910e+02, 1.381704432745856082e-01
3.238029263600000149e+02, 1.328450446326403522e-01
3.242206086400000231e+02, 1.367666132600913187e-01
3.246383142099999759e+02, 1.526054779888603719e-01
3.250560430200000042e+02, 1.505302510109096659e-01
3.254737950200000114e+02, 1.432974746318755876e-01
3.258915701500000068e+02, 1.484245059891655671e-01
3.263093683600000077e+02, 1.447928587777500553e-01
3.267271895900000231e+02, 1.630579079880956073e-01
3.271450337900000136e+02, 1.578545815213256986e-01
3.275629009200000041e+02, 1.699549858854041418e-01
3.279807909099999961e+02, 1.658350499732978989e-01
3.283987037200000145e+02, 1.478599221789878015e-01
3.288166392900000119e+02, 1.531090257114531283e-01
3.292345975700000054e+02, 1.465934233615620030e-01
3.296525785000000042e+02, 1.624475471122295289e-01
3.300705820300000255e+02, 1.680628671702155685e-01
3.304886081099999728e+02, 1.692072938124677961e-01
3.309066566899999771e+02, 1.729457541771566298e-01
3.313247277199999985e+02, 1.623712520027460471e-01
3.317428211299999816e+02, 1.569848172732122293e-01
3.321609368800000084e+02, 1.664911879148540663e-01
3.325790749099999744e+02, 1.668421454184780828e-01
3.329972351800000183e+02, 1.588616769665076589e-01
3.334154176200000279e+02, 1.728084229800863625e-01
